AVGDINNERPRICE,AVGLUNCHPRICE,City,City Id (Dim City),CITY_ID,City Name,DINNERRATING,FACT_ID,HAS_ONLINE_DELIVERY,HAS_TABLE_BOOKING,Hotel Id (Dm Hotel Tgt),HOTEL_ID,Hotel Name,LAT,LONG_FLD,LUNCHRATING,Number of Records,Speciality2 Id (Dm Speciality Tgt1),SPECIALITY2_ID,Speciality 1,Speciality 2,Speciality Id (Dm Speciality Tgt),SPECIALITY_ID,TOTALRATING,VOTES
25500,35009,Gion Shijo,CT60,CT60,Gion Shijo,4,500,Yes,No,HT698,HT698,Yosuke YAMAJI  ,35,136,5,1,S67,S67,French,Modern French,SP208,SP208,4,717
6500,2500,Gion Shijo,CT60,CT60,Gion Shijo,4,501,Yes,Yes,HT706,HT706,Zasoudouhigashiyamakyouto  ,35,136,58,1,S32,S32,Italian,Pasta,SP183,SP183,4,6
4500,1500,Gion Shijo,CT60,CT60,Gion Shijo,3,502,Yes,No,HT710,HT710,ajiromanishigamatei  ,35,136,4,1,S64,S64,Izakaya,Kyoto Cuisine,SP258,SP258,3,5
5500,1500,Gion Shijo,CT60,CT60,Gion Shijo,4,503,Yes,No,HT719,HT719,chuugokuryourichimmin  ,35,136,52,1,S66,S66,Chinese,Dim sum,SP193,SP193,5,10
4500,1250,Gion Shijo,CT60,CT60,Gion Shijo,4,504,Yes,No,HT725,HT725,daininguba-daburyu-  ,35,136,3,1,S42,S42,Kappo Japanese,Steak,SP262,SP262,4,5
4500,1250,Gion Shijo,CT60,CT60,Gion Shijo,3,505,Yes,No,HT727,HT727,datten  ,35,136,3,1,S43,S43,Italian,Bar,SP183,SP183,3,22
3500,3500,Gion Shijo,CT60,CT60,Gion Shijo,54,506,Yes,No,HT733,HT733,furenchigiombarumaruhashi  ,35,136,3,1,S29,S29,Bar,French,SP218,SP218,54,83
35009,1250,Gion Shijo,CT60,CT60,Gion Shijo,3,507,Yes,No,HT735,HT735,giombashunrou  ,35,136,3,1,S5,S5,Meat dishes,Regional Cuisine Other,SP269,SP269,3,118
12500,3500,Gion Shijo,CT60,CT60,Gion Shijo,3,508,Yes,No,HT736,HT736,gionkurashita  ,35,136,3,1,S65,S65,Kyoto Cuisine,Kaiseki Japanese,SP241,SP241,3,201
3500,3700,Gion Shijo,CT60,CT60,Gion Shijo,3,509,Yes,No,HT738,HT738,gionnotonjiruyasanadachiya  ,35,136,3,1,S78,S78,Regional Cuisine Other,Nihonshu Japanese Sake,SP184,SP184,3,3
5500,3300,Gion Shijo,CT60,CT60,Gion Shijo,3,510,Yes,No,HT739,HT739,giwonizakayamomojirou  ,35,136,3,1,S17,S17,Izakaya,Seafood,SP258,SP258,3,30
35009,3500,Gion Shijo,CT60,CT60,Gion Shijo,4,511,Yes,No,HT753,HT753,itarianasagura  ,35,136,52,1,S55,S55,Italian,Wine bar,SP183,SP183,59,29
3500,3700,Gion Shijo,CT60,CT60,Gion Shijo,3,512,Yes,No,HT755,HT755,izakayaba-shiba  ,35,136,3,1,S52,S52,Izakaya,Japanese,SP258,SP258,3,33
2500,2500,Gion Shijo,CT60,CT60,Gion Shijo,3,513,Yes,Yes,HT772,HT772,koshitsuichiammasamunebettei  ,35,136,3,1,S16,S16,Izakaya,Dining bar,SP258,SP258,3,330
4500,1500,Gion Shijo,CT60,CT60,Gion Shijo,2,514,Yes,No,HT786,HT786,kyoutofushimigurapontochoumi2.76mian  ,35,136,3,1,S52,S52,Izakaya,Japanese,SP258,SP258,2,488
12500,3500,Gion Shijo,CT60,CT60,Gion Shijo,5,515,Yes,No,HT787,HT787,kyoutogyuukaisekiinayoshi  ,35,136,3,1,S39,S39,Kaiseki Japanese,Beef dishes,SP243,SP243,52,717
12500,4500,Gion Shijo,CT60,CT60,Gion Shijo,4,516,Yes,No,HT796,HT796,matono  ,35,136,5,1,S65,S65,Kappo Japanese,Kaiseki Japanese,SP262,SP262,5,332
2500,3700,Gion Shijo,CT60,CT60,Gion Shijo,3,517,Yes,No,HT799,HT799,mikusoroji-ba-sumu-su  ,35,136,3,1,S16,S16,Bar,Dining bar,SP218,SP218,3,229
3500,3700,Gion Shijo,CT60,CT60,Gion Shijo,3,518,Yes,No,HT810,HT810,nikubaruginjirou  ,35,136,3,1,S42,S42,Bar,Steak,SP218,SP218,3,58
4500,3500,Gion Shijo,CT60,CT60,Gion Shijo,3,519,Yes,No,HT817,HT817,nikushokusakabagaru  ,35,136,3,1,S79,S79,Bar,Sumibiyaki,SP218,SP218,3,17
6500,4500,Gion Shijo,CT60,CT60,Gion Shijo,3,520,Yes,No,HT82,HT82,Daitouryou  ,35,136,3,1,S65,S65,Kyoto Cuisine,Kaiseki Japanese,SP241,SP241,3,207
2500,3700,Gion Shijo,CT60,CT60,Gion Shijo,3,521,Yes,No,HT855,HT855,teppandainingugionshou  ,35,136,3,1,S20,S20,Izakaya,Teppanyaki,SP258,SP258,3,456
5500,1250,Gion Shijo,CT60,CT60,Gion Shijo,3,522,Yes,No,HT857,HT857,teppandainingukyoushikian  ,35,136,3,1,S42,S42,Teppanyaki,Steak,SP196,SP196,3,9
3500,3500,Gion Shijo,CT60,CT60,Gion Shijo,3,523,Yes,Yes,HT866,HT866,umaimonyaki sun  ,35,136,3,1,S52,S52,YakitoriGrilledChicken,Japanese,SP232,SP232,3,755
4500,3500,Sanjo Keihan,CT61,CT61,Sanjo Keihan,3,524,Yes,No,HT136,HT136,Gionshimmonsou  ,35,136,3,1,S65,S65,Ryokan,Kaiseki Japanese,SP195,SP195,3,430
35009,5500,Sanjo Keihan,CT61,CT61,Sanjo Keihan,51,525,Yes,No,HT141,HT141,Gionyuyama  ,35,136,52,1,S94,S94,Kaiseki Japanese,Kappo Japanese,SP243,SP243,51,11
1500,1500,Sanjo Keihan,CT61,CT61,Sanjo Keihan,4,526,Yes,Yes,HT143,HT143,Giwontokiwa  ,35,136,52,1,S77,S77,Soba,Udon,SP202,SP202,4,40
1500,1250,Sanjo Keihan,CT61,CT61,Sanjo Keihan,4,527,Yes,No,HT519,HT519,Ryuumon  ,35,136,3,1,S15,S15,Sichuan Cuisine,Chinese,SP198,SP198,4,560
12500,6500,Sanjo Keihan,CT61,CT61,Sanjo Keihan,4,528,Yes,No,HT737,HT737,gionni-yongo  ,35,136,5,1,S29,S29,Italian,French,SP183,SP183,4,458
3500,1500,Hanazono,CT62,CT62,Hanazono,3,529,Yes,No,HT170,HT170,Hanagokoro  ,35,136,3,1,S68,S68,Kyoto Cuisine,Shojin Cuisine Buddhist Cuisine,SP241,SP241,3,820
4500,3700,Hanazono,CT62,CT62,Hanazono,3,530,Yes,Yes,HT615,HT615,Taketori  ,35,136,3,1,S54,S54,Fowl,YakitoriGrilledChicken,SP197,SP197,3,250
1500,1500,Toji,CT63,CT63,Toji,3,531,Yes,No,HT816,HT816,nikugaumaikafenikkusutokku  ,35,136,3,1,S42,S42,Cafe,Steak,SP190,SP190,3,287
2500,3550,Higashi Muko,CT64,CT64,Higashi Muko,2,532,Yes,No,HT699,HT699,Youfuushuzenumakarou  ,35,136,3,1,S16,S16,Izakaya,Dining bar,SP258,SP258,2,374
4500,3550,Okubo,CT65,CT65,Okubo,3,533,Yes,No,HT274,HT274,Karibunoutage  ,35,136,3,1,S34,S34,YakitoriGrilledChicken,Kushi-age Fried Skewer,SP232,SP232,3,368
